op_name,category,has_xpu_impl,triton_coverage_status,dispatch_keys,tags,notes
all.dims,reduction,False,likely_yes,"[""CompositeExplicitAutograd""]","[""reduction""]",Reduction op likely handled by Inductor's reduction path with Triton on CUDA. Inductor handles reduction ops and uses Triton for GPU codegen. Many reduction ops are likely covered.
all.out,reduction,False,likely_yes,"[""CPU, CUDA"", ""MPS"", ""MTIA""]","[""reduction""]",Reduction op likely handled by Inductor's reduction path with Triton on CUDA. Inductor handles reduction ops and uses Triton for GPU codegen. Many reduction ops are likely covered.
all.dims_out,reduction,False,likely_yes,"[""CPU, CUDA"", ""CompositeExplicitAutograd""]","[""reduction""]",Reduction op likely handled by Inductor's reduction path with Triton on CUDA. Inductor handles reduction ops and uses Triton for GPU codegen. Many reduction ops are likely covered.
all.dimname,reduction,False,likely_yes,[],"[""reduction""]",Reduction op likely handled by Inductor's reduction path with Triton on CUDA. Inductor handles reduction ops and uses Triton for GPU codegen. Many reduction ops are likely covered.
all.dimname_out,reduction,False,likely_yes,[],"[""reduction""]",Reduction op likely handled by Inductor's reduction path with Triton on CUDA. Inductor handles reduction ops and uses Triton for GPU codegen. Many reduction ops are likely covered.
any.dim,reduction,False,yes,[],"[""core"", ""reduction""]",Op any.dim has explicit lowering in Inductor's lowering table.
any.dims,reduction,False,yes,"[""CompositeExplicitAutograd""]","[""core"", ""reduction""]",Op any.dims has explicit lowering in Inductor's lowering table.
any.out,reduction,False,yes,"[""CPU, CUDA"", ""MPS""]","[""reduction""]",Op any.out has explicit lowering in Inductor's lowering table.
any.dims_out,reduction,False,yes,"[""CPU, CUDA"", ""CompositeExplicitAutograd""]","[""reduction""]",Op any.dims_out has explicit lowering in Inductor's lowering table.
any.dimname,reduction,False,yes,[],"[""reduction""]",Op any.dimname has explicit lowering in Inductor's lowering table.
any.dimname_out,reduction,False,yes,[],"[""reduction""]",Op any.dimname_out has explicit lowering in Inductor's lowering table.
argmax,reduction,False,yes,[],"[""core"", ""reduction""]",Op argmax has explicit lowering in Inductor's lowering table.
argmax.out,reduction,False,yes,"[""CPU, CUDA"", ""MPS""]","[""reduction""]",Op argmax.out has explicit lowering in Inductor's lowering table.
argmin,reduction,False,yes,[],"[""core"", ""reduction""]",Op argmin has explicit lowering in Inductor's lowering table.
argmin.out,reduction,False,yes,"[""CPU, CUDA"", ""MPS""]","[""reduction""]",Op argmin.out has explicit lowering in Inductor's lowering table.
acosh,pointwise,False,likely_yes,[],"[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
acosh_,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
acosh.out,pointwise,False,likely_yes,"[""CPU, CUDA"", ""MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
asinh,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
asinh_,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
asinh.out,pointwise,False,likely_yes,"[""CPU, CUDA"", ""MPS"", ""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
atanh,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
atanh_,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
atanh.out,pointwise,False,likely_yes,"[""CPU, CUDA"", ""MPS"", ""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
asin,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
asin_,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
asin.out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS"", ""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
atan,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
atan_,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
atan.out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS"", ""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
bitwise_not,pointwise,False,likely_yes,[],"[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
bitwise_not_,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
bitwise_not.out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS, MTIA""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
copysign.out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
copysign.Tensor,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
copysign.Scalar,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
copysign.Scalar_out,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_not,pointwise,False,likely_yes,"[""CompositeExplicitAutograd"", ""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_not_,pointwise,False,likely_yes,"[""CompositeExplicitAutograd"", ""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_not.out,pointwise,False,likely_yes,"[""CPU, CUDA, MTIA"", ""MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_xor,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_xor_,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_xor.out,pointwise,False,likely_yes,"[""CPU, CUDA"", ""MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_and,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_and_,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_and.out,pointwise,False,likely_yes,"[""CPU, CUDA, MTIA"", ""MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_or,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_or_,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
logical_or.out,pointwise,False,likely_yes,"[""CPU, CUDA, MTIA"", ""MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
ceil,pointwise,False,yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""core"", ""pointwise""]",Op ceil has explicit lowering in Inductor's lowering table.
ceil_,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
ceil.out,pointwise,False,yes,"[""CPU, CUDA, MPS"", ""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Op ceil.out has explicit lowering in Inductor's lowering table.
clamp,pointwise,False,likely_yes,"[""QuantizedCPU""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp.Tensor,pointwise,False,likely_yes,[],"[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp_,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp_.Tensor,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp.out,pointwise,False,likely_yes,"[""CPU, CUDA, MTIA, MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp.Tensor_out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp_max,pointwise,False,yes,[],"[""pointwise""]",Op clamp_max has explicit lowering in Inductor's lowering table.
clamp_max.Tensor,pointwise,False,yes,[],"[""pointwise""]",Op clamp_max.Tensor has explicit lowering in Inductor's lowering table.
clamp_max_,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp_max_.Tensor,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp_max.out,pointwise,False,yes,"[""CPU, CUDA, MTIA, MPS""]","[""pointwise""]",Op clamp_max.out has explicit lowering in Inductor's lowering table.
clamp_max.Tensor_out,pointwise,False,yes,"[""CPU, CUDA, MPS""]","[""pointwise""]",Op clamp_max.Tensor_out has explicit lowering in Inductor's lowering table.
clamp_min,pointwise,False,yes,[],"[""pointwise""]",Op clamp_min has explicit lowering in Inductor's lowering table.
clamp_min.Tensor,pointwise,False,yes,[],"[""pointwise""]",Op clamp_min.Tensor has explicit lowering in Inductor's lowering table.
clamp_min_,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp_min_.Tensor,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clamp_min.out,pointwise,False,yes,"[""CPU, CUDA, MTIA, MPS""]","[""pointwise""]",Op clamp_min.out has explicit lowering in Inductor's lowering table.
clamp_min.Tensor_out,pointwise,False,yes,"[""CPU, CUDA, MPS""]","[""pointwise""]",Op clamp_min.Tensor_out has explicit lowering in Inductor's lowering table.
clip,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clip.Tensor,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clip_,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clip_.Tensor,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
clip.out,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
cos,pointwise,False,likely_yes,"[""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
cos_,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
cos.out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS, MTIA""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
cosh,pointwise,False,likely_yes,[],"[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
cosh_,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
cosh.out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
count_nonzero.dim_IntList,reduction,False,likely_yes,"[""CPU"", ""CUDA"", ""MPS""]","[""reduction""]",Reduction op likely handled by Inductor's reduction path with Triton on CUDA. Inductor handles reduction ops and uses Triton for GPU codegen. Many reduction ops are likely covered.
count_nonzero,reduction,False,likely_yes,"[""CompositeExplicitAutograd""]","[""reduction""]",Reduction op likely handled by Inductor's reduction path with Triton on CUDA. Inductor handles reduction ops and uses Triton for GPU codegen. Many reduction ops are likely covered.
div.Tensor,pointwise,False,yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""ZeroTensor"", ""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""core"", ""pointwise""]",Op div.Tensor has explicit lowering in Inductor's lowering table.
div_.Tensor,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
div.out,pointwise,False,yes,"[""CPU, CUDA, MPS, MTIA"", ""SparseCPU, SparseCUDA, SparseMPS""]","[""pointwise""]",Op div.out has explicit lowering in Inductor's lowering table.
div.Tensor_mode,pointwise,False,yes,"[""SparseCPU, SparseCUDA, SparseMPS""]","[""core"", ""pointwise""]",Op div.Tensor_mode has explicit lowering in Inductor's lowering table.
div_.Tensor_mode,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
div.out_mode,pointwise,False,yes,"[""CPU, CUDA, MPS"", ""SparseCPU, SparseCUDA, SparseMPS""]","[""pointwise""]",Op div.out_mode has explicit lowering in Inductor's lowering table.
div.Scalar,pointwise,False,yes,"[""CompositeExplicitAutograd"", ""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""core"", ""pointwise""]",Op div.Scalar has explicit lowering in Inductor's lowering table.
div_.Scalar,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
div.Scalar_mode,pointwise,False,yes,"[""CompositeExplicitAutograd""]","[""core"", ""pointwise""]",Op div.Scalar_mode has explicit lowering in Inductor's lowering table.
